sn,compound,atomic_ra,atomic_rb,atomic_rc,covl_ra,covl_rb,covl_rc,van_ra,van_rb,van_rc,ionic_ra,ionic_rb,ionic_rc,atomic_mass_a,atomic_mass_b,atomic_mass_c,eNeg_a,eNeg_b,eNeg_c,eAffin_a,eAffin_b,eAffin_c,firstIoniz_a,firstIoniz_b,firstIoniz_c,oxidation_a,oxidation_b,oxidation_c,a,b,c,alpha,beta,gamma,BandGap,formationE,fmm,magneticO,spaceG,density,Materialid
1,Sr2YTaO6,2.00,1.8,1.45,1.92,1.62,1.38,2.55,2.4,2.2,1.12,0.9,0.64,87.62,88.90585,180.94788,0.95,1.22,1.5,5.02,30,31,549.5,600,761,2,3,5,5.927,5.927,5.927,120.777,120.777,88.66,3.826,-3.585,0,NM,87,6.18,mp-1080719
2,Sr2YReO6,2.00,1.8,1.35,1.92,1.62,1.59,2.55,2.4,2.05,1.12,0.9,0.58,87.62,88.90585,186.207,0.95,1.22,1.9,5.02,30,0,549.5,600,760,2,3,5,5.909,5.909,5.909,60,60,60,0,-2.997,0,NM,225,6.22,mp-7889
3,Sr2YIrO6,2.00,1.8,1.35,1.92,1.62,1.37,2.55,2.4,0,1.12,0.9,0.57,87.62,88.90585,192.217,0.95,1.22,2.2,5.02,30,150.9,549.5,600,880,2,3,5,5.88,5.885,10.084,55.101,90,90,0,-2.78,2.015,FM,14,6.48,mp-15887
4,Sr2CdWO6,2.00,1.55,1.35,1.92,1.48,1.46,2.55,2.2,2.1,1.12,0.97,0.66,87.62,112.411,183.84,0.95,1.69,2.36,5.02,0,79,549.5,867.8,770,2,2,6,5.959,5.808,10.098,54.844,90,90,54.844,-2.625,0,NM,14,6.6,mp-19014
5,Sr2ScNbO6,2.00,1.6,1.45,1.92,1.44,1.37,2.55,2.3,2.15,1.12,0.723,0.64,87.62,44.955912,92.90638,0.95,1.36,1.6,5.02,18,86,549.5,633.1,652.1,2,3,5,5.765,5.767,9.981,54.63,90,90,2.94,-3.51,0,NM,14,5.02,mp-1208760
6,Sr2ZrTiO6,2.00,1.55,1.4,1.92,1.48,1.36,2.55,2.3,2.15,1.12,0.79,0.605,87.62,91.224,47.867,0.95,1.33,1.54,5.02,41,8.4,549.5,640.1,658.8,2,4,4,5.749,5.749,5.749,120.339,120.339,89.415,2.516,-3.599,0,NM,87,5.1,mp-1080028
7,Sr2TiMoO6,2.00,1.4,1.45,1.92,1.36,1.45,2.55,2.15,2.1,1.12,0.94,0.65,87.62,47.867,95.94,0.95,1.54,2.16,5.02,8.4,72.3,549.5,658.8,684.3,2,4,4,5.656,5.656,5.656,119.79,119.79,90.364,0,-3.09,1.99,FM,87,5.37,mp-1078580
8,Sr2TiRuO6,2.00,1.4,1.3,1.92,1.36,1.26,2.55,2.15,2.05,1.12,0.94,0.62,87.62,47.867,101.07,0.95,1.54,2.2,5.02,8.4,101,549.5,658.8,710.2,2,4,4,3.947,3.947,7.956,90,90,90,0,-2.876,0.011,NM,123,5.63,mp-1218387
9,Sr2ZrVO6,2.00,1.55,1.35,1.92,1.48,1.25,2.55,2.3,2.05,1.12,0.79,0.58,87.62,91.224,50.9415,0.95,1.33,1.63,5.02,41,8.4,549.5,640.1,650.9,2,4,4,5.713,11.407,8.165,89.999,90,90.01,1.51,-3.281,0.001,AFM,62,5.16,mp-1276679
10,Sr2ZrVO6,2.00,1.55,1.35,1.92,1.48,1.25,2.55,2.3,2.05,1.12,0.79,0.58,87.62,91.224,50.9415,0.95,1.33,1.63,5.02,41,51,549.5,640.1,650.9,2,4,4,8.073,9.902,8.147,65.708,90,65.944,0,-3.277,0.002,AFM,225,5.17,mp-1079272
